"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="00963","中信全球高股息","市","11/19","10.9","0","0","","","9.44","10.3","1","1.02","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00964","中信亞太高股息","市","11/19","11.36","-0.04","-0.35","","","1.76","2","1","1.02","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00965","元大航太防衛科技","市","11/19","22.07","-0.29","-1.3","","","80.5","178","1","0.98","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
="00971","野村美國研發龍頭","市","11/19","16.51","-0.09","-0.54","","","8.77","14.5","0.9","0.86","","","","","","","國外成分股ETF","毛昱文","黃宏治"
="00972","野村日本動能高息","市","11/19","16.95","+0.07","+0.41","","","2.42","4.1","0.9","0.86","","","","","","","國外成分股ETF","毛昱文","黃宏治"
="009800","中信NASDAQ","市","11/19","10.61","-0.11","-1.03","","","31.54","33.5","0.8","0.77","","","","","","","國外成分股ETF","陳金榮","陳正華"
="009801","中信美國創新科技","市","11/19","10.83","-0.11","-1.01","","","18.71","20.3","0.8","0.77","","","","","","","國外成分股ETF","陳金榮","陳正華"
="009802","富邦旗艦50","市","11/19","10.26","-0.07","-0.68","","","66.75","68.5","0.7","0.67","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
="009803","保德信市值動能50","市","11/19","12.12","-0.08","-0.66","","","10.38","12.6","0.7","0.69","","","","","","","國內成分股ETF","陳茂欽","梅以德"
="009804","聯邦台精彩50","市","11/19","13.54","-0.09","-0.66","","","11.39","15.4","0.6","0.6","","","","","","","國內成分股ETF","涂洪茂","莊雅晴"
="009805","新光美國電力基建","市","11/19","12.33","-0.04","-0.32","","","32.88","40.5","0.6","0.52","","","","","","","國外成分股ETF","劉坤錫","陳文雄"
="009808","華南永昌優選50","市","11/19","18.59","-0.07","-0.38","","","5.5","10.2","0.5","0.51","","","","","","","國內成分股ETF","葉兆枝","吳嘉欽"
="009809","富邦淨零ESG50","市","11/19","9.89","-0.06","-0.6","","","8.64","8.54","0.1","0.1","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
"00980A","主動野村臺灣優選","市","11/19","13.77","-0.06","-0.43","","","58.42","80.4","0.6","0.54","","","","","","","主動式國內成分股ETF","毛昱文","黃宏治"
="009810","保德信全球藍籌","市","11/19","17.76","-0.16","-0.89","","","2.62","4.64","0.4","0.35","","","","","","","國外成分股ETF","陳茂欽","梅以德"
="009811","統一美國50","市","11/19","11.29","-0.11","-0.96","","","43.9","49.6","0.3","0.31","","","","","","","國外成分股ETF","鄧潤澤","董永寬"
="009812","野村日本東證","市","11/19","10.19","-0.03","-0.29","","","10.44","10.6","0.2","0.17","","","","","","","國外成分股ETF","毛昱文","黃宏治"
="009813","貝萊德標普卓越50","市","11/19","10.16","-0.08","-0.78","","","69.48","70.6","0.1","0.08","","","","","","","國外成分股ETF","謝宛芝","佘曉光"
"00981A","主動統一台股增長","市","11/19","15","-0.03","-0.2","","","201.2","302","0.5","0.48","","","","","","","主動式國內成分股ETF","鄧潤澤","董永寬"
"00981T","平衡凱基雙核收息","市","11/19","10.21","-0.02","-0.2","","","14.63","14.9","0.2","0.16","","","","","","","多資產ETF","丁紹曾","張慈恩"
"00982A","主動群益台灣強棒","市","11/19","13.13","-0.04","-0.3","","","186.8","245","0.5","0.5","","","","","","","主動式國內成分股ETF","賴政昇","陳明輝"
"00982D","主動富邦動態入息","市","11/19","10.05","+0.01","+0.1","","","12.22","12.3","0.1","0.1","","","","","","","主動式債券ETF","黃昭棠","呂其倫"
"00983A","主動中信ARK創新","市","11/19","11.48","-0.04","-0.35","","","31.77","36.5","0.4","0.42","","","","","","","主動式國外成分股ETF","陳金榮","陳正華"
"00983D","主動富邦複合收益","市","11/19","10.13","+0.02","+0.2","","","11.47","11.6","0.1","0.1","","","","","","","主動式債券ETF","黃昭棠","呂其倫"
"00984A","主動安聯台灣高息","市","11/19","10.2","-0.06","-0.58","","","30.5","31.1","0.4","0.35","","","","","","","主動式國內成分股ETF","段嘉薇","陳彥婷"
"00985A","主動野村台灣50","市","11/19","12.19","-0.12","-0.97","","","45.88","55.9","0.4","0.33","","","","","","","主動式國內成分股ETF","毛昱文","黃宏治"
"00985B","群益ESG投等債0-5","市","11/19","10.21","+0.01","+0.1","","","51.4","52.5","0.2","0.19","","","","","","","債券ETF","賴政昇","陳明輝"
"00986A","主動台新龍頭成長","市","11/19","10.87","-0.11","-1","","","8.33","9.06","0.3","0.23","","","","","","","主動式國外成分股ETF","吳光雄","葉柱均"
"00988A","主動統一全球創新","市","11/19","9.54","-0.1","-1.04","","","86.99","83","0.1","0.04","","","","","","","主動式國外成分股ETF","鄧潤澤","董永寬"
"00989A","主動摩根美國科技","市","11/19","14.54","-0.12","-0.82","","","15.01","21.8","0.1","0.08","","","","","","","主動式國外成分股ETF","唐德瑜","潘怡如"
"01001T","土銀富邦R1","市","11/19","11.9","-0.09","-0.75","","","","","","20.7","","","","","","","不動產投資信託證券","",""
"01002T","土銀國泰R1","市","11/19","14.25","-0.01","-0.07","","","","","","20.1","","","","","","","不動產投資信託證券","",""
"01004T","土銀富邦R2","市","11/19","10.99","0","0","","","","","","19.6","","","","","","","不動產投資信託證券","",""
"01007T","兆豐國泰R2","市","11/19","13.67","-0.14","-1.01","","","","","","19.1","","","","","","","不動產投資信託證券","",""
"01009T","王道圓滿R1","市","11/19","7.02","+0.02","+0.29","","","","","","7.42","","","","","","","不動產投資信託證券","",""
"01010T","京城樂富R1","市","11/19","10.03","+0.01","+0.1","","","","","","6.96","","","","","","","不動產投資信託證券","",""
="020000","富邦特選蘋果N","市","11/19","16.36","0","0","","","","","6.6","6.56","","","","","","","ETN","",""
="020011","統一微波高息20N","市","11/19","10.28","0","0","","","","","6","5.97","","","","","","","ETN","",""
="020012","富邦行動通訊N","市","11/19","12.25","0","0","","","","","5.9","5.92","","","","","","","ETN","",""
"02001L","富邦蘋果正二N","市","11/19","42.93","-1","-2.28","","","","","5.6","5.6","","","","","","","ETN","",""
"02001R","富邦蘋果反一N","市","11/19","0.95","+0.01","+1.06","","","","","5.6","5.6","","","","","","","ETN","",""
"02001S","策元大加權策略N","市","11/19","8.79","-0.06","-0.68","","","","","3","2.96","","","","","","","ETN","",""
="020020","元大台股領航N","市","11/19","14.25","-0.16","-1.11","","","","","5","5.05","","","","","","","ETN","",""
="020028","元大特選電動車N","市","11/19","12.41","-0.05","-0.4","","","","","4.1","4.15","","","","","","","ETN","",""
="020029","元大ESG高股息N","市","11/19","8.92","-0.08","-0.89","","","","","4.1","4.05","","","","","","","ETN","",""
="020030","統一智慧電動車N","市","11/19","8.02","-0.04","-0.5","","","","","4","3.98","","","","","","","ETN","",""
="020031","統一IC設計臺灣N","市","11/19","5.8","-0.09","-1.53","","","","","3.6","3.64","","","","","","","ETN","",""
="020032","元大綠能N","市","11/19","7.63","+0.07","+0.93","","","","","3.6","3.57","","","","","","","ETN","",""
="020034","元大IC設計N","市","11/19","6.95","-0.17","-2.39","","","","","3.5","3.47","","","","","","","ETN","",""
="020036","元大金融配息N","市","11/19","6.83","0","0","","","","","2.6","2.6","","","","","","","ETN","",""
="020037","元大金融高股息N","市","11/19","7.62","+0.01","+0.13","","","","","2.6","2.6","","","","","","","ETN","",""
="020038","元大ESG配息N","市","11/19","7.42","-0.08","-1.07","","","","","2.4","2.38","","","","","","","ETN","",""
="020039","元大加權N","市","11/19","8.37","-0.07","-0.83","","","","","2.1","2.1","","","","","","","ETN","",""
="1101","台泥","市","11/19","20.4","-0.45","-2.16","10","775","755.1","1,540","74.9","63.8","有","有","有","有","","有","水泥工業","張安平","程耀輝"
"1101B","台泥乙特","市","11/19","45.65","0","0","","","20","91.3","","6.81","","","","","","","水泥工業","",""
="1102","亞泥","市","11/19","37.55","+0.4","+1.08","10","355","354.7","1,332","68.7","63.5","有","","有","有","","","水泥工業","徐旭東","李坤炎"
="1103","嘉泥","市","11/19","13.3","-0.05","-0.37","10","79","79.02","105","70.9","56","","","","","","","水泥工業","張剛綸","王立心"
="1104","環泥","市","11/19","29.75","+0.05","+0.17","10","68.7","68.67","204","65.7","54.8","","","","","","","水泥工業","博智投資股份有限公司","侯智升"
="1108","幸福","市","11/19","14.9","-0.05","-0.33","10","40.5","40.47","60.3","51.5","35.5","","","","","","","水泥工業","陳韻如","陳明賢"
="1109","信大","市","11/19","15.35","-0.2","-1.29","10","34.1","34.12","52.4","61.7","34","","","","","","","水泥工業","楊智雄","楊大寬"
="1110","東泥","市","11/19","16.15","-0.35","-2.12","10","57.2","57.2","92.4","68.9","31.1","","","","","","","水泥工業","陳敏斷","吳炎輝"
="1201","味全","市","11/19","14.8","-0.1","-0.67","10","50.6","50.61","74.9","72.2","63.8","","","","","","","食品工業","徐文芳","滕以勇"
="1203","味王","市","11/19","39.5","0","0","10","24","24","94.8","66.4","61.2","","","","","","","食品工業","陳清福","陳恭平"
="1210","大成","市","11/19","51","-0.8","-1.54","10","89.5","89.48","456","64.9","47.5","有","","有","","","","食品工業","韓家宇","韓芳豪"
="1213","大飲","市","11/19","10","-0.1","-0.99","10","5.66","5.66","5.66","60.3","44.6","","","","","","","食品工業","蘇芸樂","洪松輝"
="1215","卜蜂","市","11/19","134.5","-1.5","-1.1","10","29.5","29.48","396","48.2","38.3","","","有","","","","食品工業","鄭武樾","許瑞通"
="1216","統一","市","11/19","74.8","-0.2","-0.27","10","568","568.2","4,250","58.2","37.9","有","有","有","有","","","食品工業","羅智先","郭慶峰"
="1217","愛之味","市","11/19","10.1","-0.05","-0.49","10","49.5","49.45","49.9","54.4","36.1","","","","","","","食品工業","陳冠翰","陳冠豪"
="1218","泰山","市","11/19","17.95","-0.1","-0.55","10","50","50","89.7","75.1","36","","","","","","","食品工業","劉偉龍","沈怡君"
="1219","福壽","市","11/19","13.5","-0.1","-0.74","10","34.1","34.12","46.1","70.8","35","","","","","","","食品工業","洪堯昆","趙文強"
="1220","台榮","市","11/19","12.4","-0.2","-1.59","10","17.7","17.71","22","56.7","34","","","","","","","食品工業","倍安利投資有限公司","陳英凱"
="1225","福懋油","市","11/19","30.25","+0.3","+1","10","24.2","24.23","73.3","39.6","32.1","","","","","","","食品工業","興泰實業股份有限公司(代表人楊淑樺)","張志賓"
="1227","佳格","市","11/19","30.2","0","0","10","91.5","91.51","276","39.5","31.6","","","","","","","食品工業","曹德風","邱子權"
="1229","聯華","市","11/19","46.55","-0.3","-0.64","10","180","179.6","836","70.3","49.3","","","","有","","","食品工業","苗豐強","林信宏"
="1231","聯華食","市","11/19","93.2","-0.7","-0.75","10","29.8","29.85","278","55.4","30.1","","","","","","","食品工業","李開源","扶兆民"
="1232","大統益","市","11/19","143","0","0","10","16","16","229","43.5","29.8","","","","","","","食品工業","羅智先","陳昭良"
="1233","天仁","市","11/19","30.75","+0.05","+0.16","10","9.06","9.06","27.9","49.9","28.7","","","","","","","食品工業","李建德","陳中智"
="1234","黑松","市","11/19","37.15","-0.05","-0.13","10","40.2","40.19","149","55.9","26.7","","","","","","","食品工業","張斌堂","張智鈞"
="1235","興泰","市","11/19","48.15","+0.65","+1.37","10","18.9","18.86","90.8","53","25.2","","","","","","","食品工業","昇鋒投資股份有限公司(代表人楊淑樺)","葉文籐"
="1236","宏亞","市","11/19","24.2","+0.35","+1.47","10","8.67","8.67","21","49.4","27.5","","","","","","","食品工業","張云綺","張云綺"
="1256","鮮活果汁-KY","市","11/19","139","-2.5","-1.77","10","3.58","3.58","49.7","15.9","13.2","","","","","","","食品工業","黃國晃","吳明憲"
="1301","台塑","市","11/19","40.05","-1.45","-3.49","10","637","636.6","2,549","71","61.3","有","有","有","有","","","塑膠工業","郭文筆","郭文筆"
="1303","南亞","市","11/19","53.8","-3.5","-6.11","10","793","793.1","4,267","67.2","58","有","有","有","有","","","塑膠工業","吳嘉昭","鄒明仁"
="1304","台聚","市","11/19","10.2","-0.5","-4.67","10","119","118.9","121","60.5","53.5","","","有","有","","","塑膠工業","吳亦圭","吳培基"
="1305","華夏","市","11/19","10.6","-0.5","-4.5","10","58.1","58.11","61.6","61.6","52.7","","","","","","","塑膠工業","吳亦圭","胡吉宏"
="1307","三芳","市","11/19","32.65","+0.45","+1.4","10","39.8","39.78","130","52.4","40","","","有","","","","塑膠工業","林孟經","林至逸"
="1308","亞聚","市","11/19","12.4","-0.3","-2.36","10","59.4","59.37","73.6","48.8","39.4","","","","","","","塑膠工業","吳亦圭","吳培基"
="1309","台達化","市","11/19","10.7","-0.3","-2.73","10","39.8","39.76","42.5","65.6","39.4","","","","","","","塑膠工業","吳亦圭","吳培基"
="1310","台苯","市","11/19","8.5","-0.24","-2.75","10","52.8","52.79","44.9","46","38.3","","","","","","","塑膠工業","林文淵","仲崇國"
="1312","國喬","市","11/19","10.2","-0.2","-1.92","10","113","110.7","113","52.2","36.9","有","","有","","","有","塑膠工業","邱德馨","曾嘉雄"
"1312A","國喬特","市","11/19","21.25","-0.05","-0.23","","","2","4.25","","36.9","","","","","","","塑膠工業","",""
="1313","聯成","市","11/19","9.59","-0.41","-4.1","10","135","135","129","49.3","36.7","","","","","","","塑膠工業","苗豐強","畢淑蒨"
="1314","中石化","市","11/19","8.2","-0.34","-3.98","10","378","378.5","310","56.4","34.4","有","","","","","","塑膠工業","陳瑞隆","陳穎俊(代理)"
="1315","達新","市","11/19","64.5","-0.1","-0.15","10","9.91","9.91","63.9","59.1","33.5","","","","","","","塑膠工業","吳子聰","陳以千"
="1316","上曜","市","11/19","14.15","-0.15","-1.05","10","36.7","36.71","51.9","45.9","33.1","","","","有","","","建材營造業","張祐銘","曾鵬光"
="1319","東陽","市","11/19","94.9","-1.2","-1.25","10","59.1","59.15","561","58.1","30.9","有","","有","","","","汽車工業","吳永茂","吳永祥"
="1321","大洋","市","11/19","35.85","0","0","10","22.7","22.72","81.5","60.5","26.8","","","","","","","塑膠工業","陳欽明","陳欽明"
="1323","永裕","市","11/19","19.65","0","0","10","9.13","9.13","17.9","52.6","29.3","","","","","","","塑膠工業","王威程","王威程"
="1324","地球","市","11/19","10.55","0","0","10","7.51","7.51","7.93","60.9","27.9","","","","","","","塑膠工業","鈞鼎投資股份有限公司(代表人張德照)","黃林慶"
="1325","恆大","市","11/19","31.3","-0.5","-1.57","10","8.53","8.53","26.7","63.1","26.6","","","","","","","塑膠工業","黃美慧","黃美慧"
="1326","台化","市","11/19","31.7","-1.2","-3.65","10","586","586.1","1,858","60.7","40.9","有","有","有","有","","","塑膠工業","洪福源","呂文進"
="1337","再生-KY","市","11/19","4.92","-0.03","-0.61","10","26.9","26.9","13.2","15.9","14.3","","","","有","","","塑膠工業","丁金山","丁金礦"
="1338","廣華-KY","市","11/19","20.4","-0.25","-1.21","10","8.38","8.38","17.1","16","12.9","","","","","","","汽車工業","余澤民","黃建中"
="1339","昭輝","市","11/19","44.3","-0.05","-0.11","10","7.41","7.41","32.8","39.7","13.6","","","","","","","汽車工業","禾翰投資股份有限公司","林睿澤"
="1340","勝悅-KY","市","11/19","6.95","-0.17","-2.39","10","15.3","15.29","10.6","13.4","11.8","","","","","","","塑膠工業","莊國清","莊輝煌"
="1341","富林-KY","市","11/19","58.3","0","0","10","5.29","5.29","30.8","9","6.91","","","","有","","","塑膠工業","王源林","王源林(暫代)"
